工事コード,名称,摘要,単位,発注単価,見積単価,数量根拠
70005,FIX窓（F）　07409,標準樹脂ｻｯｼ(ﾄﾘﾌﾟﾙ)YKKap『APW430』,ｾｯﾄ,19500,27900,※YKKap追加
70006,FIX窓（F）　11909,標準樹脂ｻｯｼ(ﾄﾘﾌﾟﾙ)YKKap『APW430』,ｾｯﾄ,26700,38200,※YKKap追加
70007,FIX窓（F）　16003,標準樹脂ｻｯｼ(ﾄﾘﾌﾟﾙ)LIXIL『EW』,ｾｯﾄ,17900,25600,
70008,FIX窓（F）　16003,標準樹脂ｻｯｼ(ﾄﾘﾌﾟﾙ)YKKap『APW430』,ｾｯﾄ,17900,25600,※YKKap追加
70009,単体引違い窓（HH）　16005,標準樹脂ｻｯｼ(ﾄﾘﾌﾟﾙ)YKKap『APW430』,ｾｯﾄ,36500,52200,※YKKap追加
70010,単体引違い窓（HH）　16009,標準樹脂ｻｯｼ(ﾄﾘﾌﾟﾙ)LIXIL『EW』,ｾｯﾄ,46200,66000,
70011,単体引違い窓（HH）　16009,標準樹脂ｻｯｼ(ﾄﾘﾌﾟﾙ)YKKap『APW430』,ｾｯﾄ,46200,66000,※YKKap追加
70012,単体引違い窓（HH）　16020,標準樹脂ｻｯｼ(ﾄﾘﾌﾟﾙ)LIXIL『EW』,ｾｯﾄ,90500,129300,
70013,単体引違い窓（HH）　16520,標準樹脂ｻｯｼ(ﾄﾘﾌﾟﾙ)LIXIL『EW』,ｾｯﾄ,90500,129300,
70014,★単体引違い窓（HH）　25122-2　ｻﾎﾟｰﾄﾊﾝﾄﾞﾙ,標準樹脂ｻｯｼ(ﾄﾘﾌﾟﾙ)YKKap『APW430』,ｾｯﾄ,207200,296000,※YKKap追加（大判ガラス）
70015,単体引違い窓（HH）　25620-2　ｱｼｽﾄ把手,標準樹脂ｻｯｼ(ﾄﾘﾌﾟﾙ)LIXIL『EW』,ｾｯﾄ,165000,235800,
70016,大判ｶﾞﾗｽ施工費,H22以上(★印サッシ),式,55800,79800,※新規追加
70017,内外観ブラック色　追加費用,YKKap『APW430/431』,式,44700,63900,※新規追加
80001,可動棚5枚 W3.0尺･D450まで,材工,ヶ所,39200,56000,
80002,可動棚5枚 W4.5尺･D450まで,材工,ヶ所,40000,57200,
80003,可動棚5枚 W6.0尺･D450まで,材工,ヶ所,48000,68600,
80004,可動棚5枚　W6.0尺・ﾌｨｯﾄﾗｯｸ（SC619a）,材工,ヶ所,54200,77500,
80005,可動棚5枚　W3.0尺・ﾌｨｯﾄﾗｯｸ（SC319a）,材工,ヶ所,28700,41000,
80006,可動棚10枚　W4.5尺・ﾌｨｯﾄﾗｯｸ（SC419a）,材工,ヶ所,82800,118400,※新規追加
80007,標準ﾄﾞｱ　ﾊﾟﾈﾙﾀｲﾌﾟ　LAA　ｼｰｸﾚｯﾄﾄﾞｱｽﾄｯﾊﾟｰ,LIXIL　ﾗｼｯｻS,ｾｯﾄ,18900,27000,
80008,標準ﾄﾞｱ　ｶﾞﾗｽﾀｲﾌﾟ　LGA　ｼｰｸﾚｯﾄﾄﾞｱｽﾄｯﾊﾟｰ,LIXIL　ﾗｼｯｻS,ｾｯﾄ,29300,41900,
80009,標準ﾄｲﾚﾄﾞｱ　LAA　表示錠・明り採り付 ｼｰｸﾚｯﾄﾄﾞｱｽﾄｯﾊﾟ,LIXIL　ﾗｼｯｻS　W特寸,ｾｯﾄ,31500,45000,
80010,片引戸ﾄｲﾚ　上吊　LAA　表示錠・明り採り付　Wｿﾌﾄﾓｰｼｮﾝ,LIXIL　ﾗｼｯｻS,ｾｯﾄ,30500,43600,※新規追加
80011,標準片引戸　上吊　ﾊﾟﾈﾙﾀｲﾌﾟ　LAA　Wｿﾌﾄﾓｰｼｮﾝ,LIXIL　ﾗｼｯｻS,ｾｯﾄ,28200,40300,
80012,標準ｱｳﾄｾｯﾄ片引戸　ﾊﾟﾈﾙﾀｲﾌﾟ　LAA　Wｿﾌﾄﾓｰｼｮﾝ,LIXIL　ﾗｼｯｻS,ｾｯﾄ,22700,32500,
80013,標準ｸﾛｰｾﾞｯﾄﾄﾞｱ　折戸　ﾉﾝﾚｰﾙ　LAA　W3尺,LIXIL　ﾗｼｯｻS,ｾｯﾄ,17400,24900,※サイズ追加
80014,標準ｸﾛｰｾﾞｯﾄﾄﾞｱ　折戸　ﾉﾝﾚｰﾙ　LAA　W6尺,LIXIL　ﾗｼｯｻS,ｾｯﾄ,28500,40800,
80015,標準両開き戸　収納　3尺,LIXIL　ﾗｼｯｻS,ｾｯﾄ,15700,22500,
80016,標準ﾄﾞｱ　RGV　ﾗｲﾝ枠　ｼｰｸﾚｯﾄﾄﾞｱｽﾄｯﾊﾟｰ,LIXIL　ﾗﾌｨｽ,ｾｯﾄ,68400,97800,
80017,標準片引戸　RAA　ｶﾞｲﾄﾞﾋﾟﾝ　Wｿﾌﾄﾓｰｼｮﾝ,LIXIL　ﾗﾌｨｽ,ｾｯﾄ,53800,76900,※新規追加
80018,標準片引戸+表示錠　RAA　ｶﾞｲﾄﾞﾋﾟﾝ　Wｿﾌﾄﾓｰｼｮﾝ,LIXIL　ﾗﾌｨｽ,ｾｯﾄ,56100,80200,※新規追加
80019,標準ｸﾛｰｾﾞｯﾄﾄﾞｱ　ﾉﾝﾚｰﾙ　6.0尺折戸　RAD,LIXIL　ﾗﾌｨｽ,ｾｯﾄ,59100,84500,※新規追加
80020,片引戸　RAA　天井埋込,LIXIL　ﾗﾌｨｽ,ｾｯﾄ,37700,53900,※新規追加
80021,片引戸　RZA　天井埋込　Wｿﾌﾄﾓｰｼｮﾝ,LIXIL　ﾗﾌｨｽ　ｱﾙﾐｶﾞﾗｽ建具 ｸﾘｱｸﾞﾚｰ/ﾌﾛｽﾄ,ヶ所,83820,119800,※新規追加
80022,室内窓　LIXIL ﾃﾞｺﾏﾄﾞ,（特寸）,ヶ所,37100,53100,※新規追加
80023,収納棚　ししまるくんﾇｯｸｽﾍﾟｰｽ上部,材工　ｱｲｶ ﾎﾟｽﾄﾌｫｰﾑｶｳﾝﾀｰ KLA□4DV,枚,26600,38000,※新規追加
80024,ﾇｯｸ側からの固定棚板,材工　ｱｲｶ ﾎﾟｽﾄﾌｫｰﾑｶｳﾝﾀｰ KLA□4DV,枚,15700,22500,※新規追加
90001,外壁 出隅ｺｰﾅｰ,KMEW L出隅/ﾆﾁﾊ同質出隅/鋼板,ｍ,3400,4900,ｺｰﾅｰ役物長から集計
90002,破風･鼻隠し,SGL鋼板(ﾆｽｸｶﾗｰPro),ｍ,3000,4300,※新規追加
90003,残材処理費,,㎡,250,360,
